Video name,DATE,Played Time,Played Num,OSX Desktop,IOS,Linux Desktop,Window Desktop,Android,Bot,
20180724_daily_newCash_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20190108_oldShop_Tailer_v3_480p.mp4,2019-01-15,35,4,0,1,0,0,3,0,
20180312_showbiz_ming_v2_480p.mp4,2019-01-15,530,4,0,2,0,0,2,0,
TrilogyTeaser_02FullVersion_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20181023_health_IBS_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20180119_TGIF_barbecue_480p.mp4,2019-01-15,65,4,0,0,0,0,4,0,
3manLive_EP39_480p.mp4,2019-01-15,510,4,1,1,0,2,0,0,
20170114_ENT_Miss_china_480p.mp4,2019-01-15,75,4,0,0,0,0,4,0,
20180209_TGIF_NewYearCake_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20180418_motherday_promoA_480p.mp4,2019-01-15,65,4,0,0,0,0,4,0,
20171130_LF_sale_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
3manLive_EP31_480p.mp4,2019-01-15,5,4,0,0,0,0,4,0,
20170911_NetDaily_water_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20170523_IT_WifiBeddiGlow_480p.mp4,2019-01-15,45,4,0,0,0,0,4,0,
20171021_Ent_Cheung_480p.mp4,2019-01-15,120,4,0,0,0,0,4,0,
20180516_minCook_onionsoup_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20180503_ENT_eric_480p.mp4,2019-01-15,0,4,0,0,0,0,4,0,
20170615_IT_Spark_v4_480p.mp4,2019-01-15,100,4,0,0,0,0,4,0,
20170204_amcook_duckbreast_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20181106_Ent_lee_480p.mp4,2019-01-15,25,4,0,0,0,0,4,0,
3manLive_EP38_480p.mp4,2019-01-15,0,4,0,0,0,4,0,0,
20180524_ENT_misshk_480p.mp4,2019-01-15,5,4,0,0,0,0,4,0,
20180108_ENT_chan_480p.mp4,2019-01-15,25,4,0,0,0,0,4,0,
20180830_TGIF_v2_480p.mp4,2019-01-15,175,4,0,3,0,1,0,0,
20170311_mineat_nuts_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20181226_ENT_moon_480p.mp4,2019-01-15,400,4,0,0,0,4,0,0,
20190107_WN_TSA_480p.mp4,2019-01-15,490,4,0,4,0,0,0,0,
20171116_ENT_yeung_480p.mp4,2019-01-15,20,4,0,0,0,0,4,0,
20181020_Ent_LouisKoo_480p.mp4,2019-01-15,0,4,0,0,0,0,4,0,
20180503_ENT_koo_480p.mp4,2019-01-15,35,4,0,0,0,0,4,0,
20170406_daily_Tram_480p.mp4,2019-01-15,20,4,0,0,0,0,4,0,
20181119_FuHoRestaurant_480p.mp4,2019-01-15,0,4,0,4,0,0,0,0,
20180125_ENT_theresa_480p.mp4,2019-01-15,85,4,0,0,0,4,0,0,
20181229_Ent_hung_v2_480p.mp4,2019-01-15,0,3,0,0,0,3,0,0,
